state,q0,q1,q2,q3,q4,q5,q6,q7,q8
"-1,1,0,0,1,-1,-1,1,1",-99,-99,0,0,-99,-99,-99,-99,-99
"-1,1,0,0,1,-1,0,-1,0",-99,-99,-13.00639226542368,3.1146458982446212,-99,-99,5.035492627648312,-99,4.499999999999993
"-1,1,0,0,1,-1,0,-1,1",-99,-99,5.698575704112761,4.499999999999993,-99,-99,6.5875827033249035,-99,-99
"-1,1,0,0,1,-1,0,0,-1",-99,-99,8.999999999999986,-17.696687039531795,-99,-99,-7.845910816270852,9.999999999999993,-99
"-1,1,0,0,1,-1,0,0,0",-99,-99,8.999999999999986,8.635294901468558,-99,-99,8.999999999999986,9.999999999999993,7.557958544444727
"-1,1,0,0,1,-1,0,0,1",-99,-99,0,0,-99,-99,0,0,-99
"-1,1,0,0,1,-1,0,1,-1",-99,-99,0,0,-99,-99,0,-99,-99
"-1,1,0,0,1,-1,0,1,0",-99,-99,0,0,-99,-99,0,-99,0
"-1,1,0,0,1,-1,1,-1,-1",-99,-99,9.999999999999993,-19.999999999999986,-99,-99,-99,-99,-99
"-1,1,0,0,1,-1,1,-1,0",-99,-99,9.999999999999993,7.048419479391963,-99,-99,-99,-99,6.29162356421817
"-1,1,0,0,1,-1,1,-1,1",-99,-99,0,0,-99,-99,-99,-99,-99
"-1,1,0,0,1,-1,1,0,-1",-99,-99,9.999999999999993,-7.846012010280131,-99,-99,-99,9.999999999999993,-99
"-1,1,0,0,1,-1,1,0,0",-99,-99,0,0,-99,-99,-99,0,0
"-1,1,0,0,1,-1,1,1,-1",-99,-99,0,0,-99,-99,-99,-99,-99
"-1,1,0,0,1,0,-1,-1,0",-99,-99,-19.91887433381618,4.201525428588407,-99,-17.425833819413814,-99,-99,-16.56501196219224
"-1,1,0,0,1,0,-1,-1,1",-99,-99,-10.117733289533266,6.48640131279087,-99,0.4000637934829665,-99,-99,-99
"-1,1,0,0,1,0,-1,0,-1",-99,-99,-19.27475211384317,-3.6947814519495696,-99,-16.935086208310555,-99,9.999999999999993,-99
"-1,1,0,0,1,0,-1,0,0",-99,-99,-5.165557826208945,8.999999999999986,-99,2.133845319036562,-99,9.999999999999993,3.1209890926138044
"-1,1,0,0,1,0,-1,0,1",-99,-99,0,0,-99,0,-99,0,-99
"-1,1,0,0,1,0,-1,1,-1",-99,-99,0,0,-99,0,-99,-99,-99
"-1,1,0,0,1,0,-1,1,0",-99,-99,0,0,-99,0,-99,-99,0
"-1,1,0,0,1,0,0,-1,-1",-99,-99,-17.058895793707723,-15.776465016068292,-99,0.5196187712549749,4.759471040629819,-99,-99
"-1,1,0,0,1,0,0,-1,0",-99,-99,7.412387727160055,8.301901738790587,-99,7.168141618482161,7.491199755752205,-99,6.1083082713469965
"-1,1,0,0,1,0,0,-1,1",-99,-99,0,0,-99,0,0,-99,-99
"-1,1,0,0,1,0,0,0,-1",-99,-99,8.999999999999986,8.999999999999986,-99,8.999999999999986,8.999999999999986,9.999999999999993,-99
"-1,1,0,0,1,0,0,0,0",-99,-99,0,0,-99,0,0,0,0
"-1,1,0,0,1,0,0,1,-1",-99,-99,0,0,-99,0,0,-99,-99
"-1,1,0,0,1,0,1,-1,-1",-99,-99,9.999999999999993,8.999999999999986,-99,8.999999999999986,-99,-99,-99
"-1,1,0,0,1,0,1,-1,0",-99,-99,0,0,-99,0,-99,-99,0
"-1,1,0,0,1,0,1,0,-1",-99,-99,0,0,-99,0,-99,0,-99
"-1,1,0,0,1,1,-1,-1,-1",-99,-99,0,0,-99,-99,-99,-99,-99
"-1,1,0,0,1,1,-1,-1,0",-99,-99,-19.999999999999986,9.999999999999993,-99,-99,-99,-99,-10.357689826044906
"-1,1,0,0,1,1,-1,-1,1",-99,-99,0,0,-99,-99,-99,-99,-99
"-1,1,0,0,1,1,-1,0,-1",-99,-99,-19.999999999999986,9.999999999999993,-99,-99,-99,9.999999999999993,-99
"-1,1,0,0,1,1,-1,0,0",-99,-99,0,0,-99,-99,-99,0,0
"-1,1,0,0,1,1,-1,1,-1",-99,-99,0,0,-99,-99,-99,-99,-99
"-1,1,0,0,1,1,0,-1,-1",-99,-99,-2.8742816268948754,9.999999999999993,-99,-99,8.999999999999986,-99,-99
"-1,1,0,0,1,1,0,-1,0",-99,-99,0,0,-99,-99,0,-99,0
"-1,1,0,0,1,1,0,0,-1",-99,-99,0,0,-99,-99,0,0,-99
"-1,1,0,0,1,1,1,-1,-1",-99,-99,0,0,-99,-99,-99,-99,-99
"-1,1,0,1,-1,-1,-1,0,1",-99,-99,4.9999999999999964,-99,-99,-99,-99,-19.999999999999986,-99
"-1,1,0,1,-1,-1,-1,1,0",-99,-99,-19.999999999999986,-99,-99,-99,-99,-99,-19.999999999999986
"-1,1,0,1,-1,-1,-1,1,1",-99,-99,4.9999999999999964,-99,-99,-99,-99,-99,-99
"-1,1,0,1,-1,-1,0,-1,1",-99,-99,4.9999999999999964,-99,-99,-99,4.9999999999999964,-99,-99
"-1,1,0,1,-1,-1,0,0,0",-99,-99,-10.369835543710952,-99,-99,-99,-12.847218094247259,-19.42192936957026,4.499999999999993
"-1,1,0,1,-1,-1,0,0,1",-99,-99,4.499999999999993,-99,-99,-99,7.6329957228241385,5.7856415461969055,-99
"-1,1,0,1,-1,-1,0,1,-1",-99,-99,0,-99,-99,-99,0,-99,-99
"-1,1,0,1,-1,-1,0,1,0",-99,-99,-7.401356869851236,-99,-99,-99,-8.762178736393638,-99,6.3088924108439475
"-1,1,0,1,-1,-1,0,1,1",-99,-99,0,-99,-99,-99,0,-99,-99
"-1,1,0,1,-1,-1,1,-1,0",-99,-99,-19.999999999999986,-99,-99,-99,-99,-99,4.9999999999999964
"-1,1,0,1,-1,-1,1,-1,1",-99,-99,4.9999999999999964,-99,-99,-99,-99,-99,-99
"-1,1,0,1,-1,-1,1,0,-1",-99,-99,0,-99,-99,-99,-99,0,-99
