state,q0,q1,q2,q3,q4,q5,q6,q7,q8
"-1,-1,1,1,-1,0,1,-1,1",-99,-99,-99,-99,-99,0,-99,-99,-99
"-1,-1,1,1,-1,0,1,0,0",-99,-99,-99,-99,-99,-19.635039927371984,-99,-19.594488808191095,-19.594488808191095
"-1,-1,1,1,-1,0,1,0,1",-99,-99,-99,-99,-99,0,-99,0,-99
"-1,-1,1,1,-1,0,1,1,-1",-99,-99,-99,-99,-99,0,-99,-99,-99
"-1,-1,1,1,-1,0,1,1,0",-99,-99,-99,-99,-99,0,-99,-99,0
"-1,-1,1,1,-1,1,0,1,-1",-99,-99,-99,-99,-99,-99,0,-99,-99
"-1,-1,1,1,-1,1,0,1,0",-99,-99,-99,-99,-99,-99,0,-99,0
"-1,-1,1,1,-1,1,1,-1,0",-99,-99,-99,-99,-99,-99,-99,-99,0
"-1,-1,1,1,-1,1,1,0,-1",-99,-99,-99,-99,-99,-99,-99,0,-99
"-1,-1,1,1,-1,1,1,0,0",-99,-99,-99,-99,-99,-99,-99,0,0
"-1,-1,1,1,0,-1,-1,1,1",-99,-99,-99,-99,4.9178839836586965,-99,-99,-99,-99
"-1,-1,1,1,0,0,1,-1,1",-99,-99,-99,-99,0,0,-99,-99,-99
"-1,-1,1,1,0,0,1,0,0",-99,-99,-99,-99,0,0,-99,0,0
"-1,-1,1,1,0,0,1,1,-1",-99,-99,-99,-99,0,0,-99,-99,-99
"-1,-1,1,1,1,-1,-1,0,1",-99,-99,-99,-99,-99,-99,-99,4.999997576537484,-99
"-1,-1,1,1,1,-1,-1,1,0",-99,-99,-99,-99,-99,-99,-99,-99,4.9999999999999964
"-1,-1,1,1,1,-1,-1,1,1",-99,-99,-99,-99,-99,-99,-99,-99,-99
"-1,-1,1,1,1,-1,0,0,1",-99,-99,-99,-99,-99,-99,0,0,-99
"-1,-1,1,1,1,-1,0,1,0",-99,-99,-99,-99,-99,-99,0,-99,0
"-1,-1,1,1,1,0,-1,1,0",-99,-99,-99,-99,-99,0,-99,-99,0
"-1,0,-1,-1,1,1,-1,1,1",-99,0,-99,-99,-99,-99,-99,-99,-99
"-1,0,-1,-1,1,1,0,0,1",-99,-19.99646071309144,-99,-99,-99,-99,-19.99646071309144,-19.99606745899049,-99
"-1,0,-1,-1,1,1,0,1,1",-99,0,-99,-99,-99,-99,0,-99,-99
"-1,0,-1,-1,1,1,1,-1,1",-99,4.507614548908195,-99,-99,-99,-99,-99,-99,-99
"-1,0,-1,-1,1,1,1,0,0",-99,4.499998747487275,-99,-99,-99,-99,-99,-19.05797426055075,-19.3132632359415
"-1,0,-1,-1,1,1,1,0,1",-99,0,-99,-99,-99,-99,-99,0,-99
"-1,0,-1,-1,1,1,1,1,0",-99,0,-99,-99,-99,-99,-99,-99,0
"-1,0,-1,0,0,1,-1,1,1",-99,-13.7237880782,-99,-13.7237880782,-13.7237880782,-99,-99,-99,-99
"-1,0,-1,0,0,1,0,0,1",-99,-9.66297305345252,-99,-12.48539450845257,-9.430278750847492,-99,-11.390655800000001,-9.275914584068401,-99
"-1,0,-1,0,0,1,0,1,0",-99,-14.10841618908898,-99,-14.168299136977474,-16.664563660066683,-99,-14.161590986445347,-99,-13.478919645371912
"-1,0,-1,0,0,1,0,1,1",-99,0,-99,0,0,-99,0,-99,-99
"-1,0,-1,0,0,1,1,0,0",-99,2.845104641462519,-99,-8.930023237606951,-13.7237880782,-99,-99,-7.02423578,-12.25159022
"-1,0,-1,0,0,1,1,0,1",-99,0,-99,0,0,-99,-99,0,-99
"-1,0,-1,0,0,1,1,1,-1",-99,-15.424641509007799,-99,-15.424641509007799,-15.882177358107018,-99,-99,-99,-99
"-1,0,-1,0,0,1,1,1,0",-99,0,-99,0,0,-99,-99,-99,0
